,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
327,benicarlo,0.0,ES,1549163135.0,100.0,40.42,0.43,49.23,38.72
328,pappadatai,40.0,GR,1549162200.0,63.0,39.31,20.79,64.4,5.82
329,mahibadhoo,0.0,MV,1549163135.0,100.0,3.78,72.97,81.72,14.79
330,vila velha,40.0,BR,1549159200.0,78.0,-3.71,-38.6,82.4,4.7
331,roma,75.0,IT,1549162200.0,87.0,41.89,12.48,48.2,6.93
332,petropavlovsk-kamchatskiy,24.0,RU,1549161000.0,55.0,53.05,158.65,35.6,15.66
333,la ronge,90.0,CA,1549159200.0,68.0,55.1,-105.3,-14.81,9.17
334,sistranda,0.0,NO,1549158600.0,68.0,63.73,8.83,24.8,17.22
335,opuwo,92.0,NA,1549163137.0,61.0,-18.06,13.84,64.04,2.59
336,golden,80.0,CA,1549163138.0,82.0,51.3,-116.96,21.38,0.36
337,quatre cocos,20.0,MU,1549159200.0,94.0,-20.21,57.76,73.4,4.16
338,porvoo,75.0,FI,1549162200.0,92.0,60.4,25.66,26.6,18.34
339,bethel,90.0,US,1549159800.0,100.0,60.79,-161.76,33.98,12.75
340,lazaro cardenas,20.0,MX,1549158900.0,46.0,28.39,-105.62,59.0,6.93
341,coos bay,90.0,US,1549158960.0,96.0,43.37,-124.22,50.0,5.82
342,nabire,64.0,ID,1549163140.0,77.0,-3.36,135.5,79.38,2.48
343,husavik,88.0,CA,1549163141.0,82.0,50.56,-96.99,5.31,7.29
344,yaring,75.0,TH,1549159200.0,100.0,6.87,101.37,77.0,6.93
345,cap malheureux,20.0,MU,1549159200.0,94.0,-19.98,57.61,73.4,9.75
346,sibolga,20.0,ID,1549163142.0,90.0,1.74,98.78,77.04,2.04
347,saint-georges,56.0,CA,1549163142.0,72.0,46.12,-70.67,12.11,7.4
348,kaseda,75.0,JP,1549160520.0,100.0,31.42,130.32,53.6,3.36
349,teresina,90.0,BR,1549159200.0,94.0,-5.09,-42.81,73.4,4.7
350,sao filipe,80.0,CV,1549163143.0,100.0,14.9,-24.5,69.98,15.79
351,herzberg,80.0,DE,1549163144.0,95.0,51.66,10.34,29.88,7.74
352,turan,32.0,RU,1549163144.0,61.0,52.15,93.92,-23.72,1.7
353,stabat,20.0,ID,1549159200.0,83.0,3.76,98.46,80.6,4.7
354,gobabis,64.0,NA,1549163145.0,98.0,-22.45,18.97,61.47,5.84
355,daru,0.0,SL,1549163145.0,94.0,7.99,-10.85,72.81,3.71
356,surt,0.0,LY,1549163146.0,69.0,31.21,16.59,62.01,16.13
357,turayf,0.0,SA,1549159200.0,100.0,31.68,38.65,39.2,8.05
358,alta floresta,24.0,BR,1549163146.0,93.0,-9.87,-56.08,75.24,2.37
359,livermore,90.0,US,1549162560.0,63.0,37.68,-121.77,55.94,11.41
360,ambulu,36.0,ID,1549163147.0,100.0,-8.35,113.61,82.31,5.39
361,kumluca,0.0,TR,1549163147.0,77.0,36.37,30.29,18.36,0.69
362,ponta delgada,75.0,PT,1549161000.0,82.0,37.73,-25.67,60.8,12.75
363,verkhnevilyuysk,68.0,RU,1549163148.0,48.0,63.45,120.31,-29.34,8.52
364,nizwa,56.0,OM,1549163148.0,99.0,22.93,57.53,55.94,3.38
365,misawa,40.0,JP,1549159200.0,51.0,40.75,141.38,37.4,8.05
366,pacific grove,90.0,US,1549162440.0,83.0,36.62,-121.92,53.06,13.87
367,trujillo,75.0,PE,1549159200.0,88.0,-8.11,-79.03,75.2,9.17
368,san carlos de bariloche,0.0,AR,1549159200.0,28.0,-41.13,-71.31,68.0,5.82
369,brazzaville,20.0,CD,1549159200.0,88.0,-4.27,15.27,80.6,1.12
370,comodoro rivadavia,0.0,AR,1549159200.0,55.0,-45.87,-67.48,66.2,3.36
371,nalut,0.0,LY,1549163150.0,47.0,31.86,10.98,45.86,7.52
372,qandala,20.0,SO,1549163150.0,100.0,11.47,49.87,55.31,2.93
373,mozarlandia,24.0,BR,1549163111.0,82.0,-14.74,-50.57,73.53,2.59
374,esperance,20.0,TT,1549159200.0,83.0,10.24,-61.45,73.4,3.36
375,belyy yar,0.0,RU,1549161000.0,75.0,53.6,91.39,-18.41,4.47
376,havelock,90.0,US,1549162680.0,86.0,34.88,-76.9,50.0,4.72
377,ojinaga,1.0,US,1549161300.0,39.0,29.56,-104.41,60.26,6.93
378,kruisfontein,0.0,ZA,1549163152.0,90.0,-34.0,24.73,65.88,3.38
379,marquette,90.0,US,1549158960.0,85.0,46.54,-87.4,23.0,4.7
380,mpulungu,88.0,ZM,1549163153.0,97.0,-8.77,31.12,61.43,2.82
381,nova olimpia,0.0,BR,1549163093.0,91.0,-14.8,-57.29,75.96,4.16
382,ibra,0.0,OM,1549163153.0,100.0,22.69,58.55,52.47,2.71
383,carnarvon,0.0,ZA,1549163154.0,63.0,-30.97,22.13,48.6,2.82
384,garissa,0.0,KE,1549163154.0,82.0,-0.46,39.64,69.75,4.38
385,metro,88.0,ID,1549163155.0,100.0,-5.11,105.31,78.53,4.94
386,ullapool,44.0,GB,1549163155.0,100.0,57.9,-5.16,37.31,6.73
387,bagala,24.0,BF,1549163155.0,41.0,12.6,-3.83,71.06,6.17
388,leningradskiy,76.0,RU,1549163156.0,88.0,69.38,178.42,3.96,16.02
389,hamilton,40.0,BM,1549158900.0,82.0,32.3,-64.78,60.8,8.05
390,walvis bay,80.0,NA,1549159200.0,82.0,-22.95,14.51,62.6,3.36
391,khani,64.0,GE,1549161000.0,100.0,41.96,42.96,39.2,4.7
392,baculin,56.0,PH,1549163157.0,94.0,7.45,126.58,79.02,7.18
393,miri,8.0,NG,1549163157.0,61.0,10.31,9.75,59.09,2.93
394,asbestos,75.0,CA,1549161540.0,92.0,45.78,-71.93,12.2,8.05
395,denpasar,20.0,ID,1549161000.0,79.0,-8.65,115.22,86.0,12.75
396,pangnirtung,12.0,CA,1549163158.0,55.0,66.15,-65.72,-11.61,4.05
397,saint-pierre,90.0,FR,1549161000.0,100.0,48.95,4.24,37.4,18.34
398,luganville,56.0,VU,1549163160.0,100.0,-15.51,167.18,82.26,7.4
399,saint-louis,90.0,CH,1549162200.0,93.0,47.59,7.56,41.0,8.05
400,demba,68.0,CD,1549163161.0,98.0,-5.47,22.27,70.43,2.15
401,kimbe,92.0,PG,1549163161.0,100.0,-5.56,150.15,78.71,5.95
402,mount darwin,44.0,ZW,1549163161.0,89.0,-16.77,31.58,67.19,3.49
403,merauke,76.0,ID,1549163162.0,84.0,-8.49,140.4,85.19,19.04
404,darhan,0.0,MN,1549163162.0,45.0,49.49,105.92,-9.18,8.86
405,biltine,0.0,TD,1549163162.0,33.0,14.53,20.93,69.66,9.64
406,inhambane,80.0,MZ,1549163163.0,96.0,-23.87,35.38,76.73,8.86
407,iwata,20.0,JP,1549159200.0,30.0,34.71,137.85,53.6,9.17
408,tateyama,75.0,JP,1549159200.0,49.0,36.66,137.31,46.4,4.7
409,nieuw nickerie,100.0,SR,1549163164.0,99.0,5.94,-56.99,78.3,11.21
410,gwadar,32.0,PK,1549163164.0,95.0,25.12,62.33,63.68,5.17
411,kloulklubed,75.0,PW,1549158600.0,74.0,7.04,134.26,84.2,13.87
412,lashio,0.0,MM,1549163165.0,71.0,22.93,97.75,64.17,2.48
413,rovaniemi,0.0,FI,1549162200.0,75.0,66.5,25.72,-13.01,10.29
414,egvekinot,88.0,RU,1549163165.0,89.0,66.32,-179.17,9.72,4.16
415,saint george,20.0,GR,1549162200.0,81.0,39.45,22.34,48.2,1.92
416,eskilstuna,90.0,SE,1549160400.0,92.0,59.37,16.51,30.2,19.46
417,krasna lipa,90.0,CZ,1549159200.0,89.0,50.48,13.36,32.0,2.24
418,talnakh,20.0,RU,1549163167.0,63.0,69.49,88.39,-34.2,6.4
419,richards bay,48.0,ZA,1549162951.0,100.0,-28.77,32.06,67.77,4.05
420,mlonggo,20.0,ID,1549161000.0,83.0,-6.53,110.7,82.4,3.36
421,walcz,92.0,PL,1549163168.0,98.0,53.28,16.47,32.36,10.76
422,bonavista,48.0,CA,1549163168.0,100.0,48.65,-53.11,17.51,13.67
423,sinop,0.0,TR,1549163168.0,89.0,42.03,35.15,48.11,5.39
424,shangqiu,92.0,CN,1549163169.0,92.0,34.42,115.65,38.93,11.54
425,chodziez,90.0,PL,1549161000.0,96.0,52.99,16.92,32.0,5.82
426,esik,90.0,KZ,1549161000.0,85.0,43.36,77.47,15.8,2.24
427,tampakan,90.0,PH,1549159200.0,65.0,6.44,124.93,82.4,9.17
428,lasalgaon,8.0,IN,1549163170.0,76.0,20.14,74.24,64.98,2.04
429,paramonga,68.0,PE,1549163171.0,100.0,-10.68,-77.82,72.63,8.75
430,hue,20.0,VN,1549161000.0,74.0,16.47,107.58,78.8,2.24
431,alugan,32.0,PH,1549163172.0,87.0,12.22,125.48,80.78,13.33
432,paita,92.0,PE,1549163172.0,90.0,-5.09,-81.11,74.34,3.94
433,zunyi,12.0,CN,1549163172.0,82.0,27.73,106.92,47.21,10.87
434,arlit,0.0,NE,1549163173.0,37.0,18.74,7.39,52.11,4.94
435,manicore,8.0,BR,1549162895.0,93.0,-5.81,-61.3,77.13,2.37
436,hammerfest,8.0,NO,1549160400.0,61.0,70.66,23.68,14.0,41.38
437,tartagal,92.0,AR,1549163174.0,96.0,-22.52,-63.8,70.92,18.59
438,qrendi,0.0,MT,1549161900.0,81.0,35.83,14.46,53.6,9.17
439,fukue,40.0,JP,1549161120.0,50.0,35.03,136.69,51.8,5.82
440,guasdualito,0.0,VE,1549159200.0,57.0,7.24,-70.73,78.8,6.85
441,karasburg,0.0,NA,1549163176.0,83.0,-28.01,18.75,52.16,6.51
442,bonthe,0.0,SL,1549163176.0,99.0,7.53,-12.5,75.33,3.49
443,san juan,0.0,AR,1549163177.0,87.0,-31.54,-68.53,62.24,3.38
444,linjiang,92.0,CN,1549163178.0,87.0,41.81,126.91,32.94,3.83
445,dunedin,24.0,NZ,1549163178.0,65.0,-45.87,170.5,65.61,5.84
446,isangel,88.0,VU,1549163178.0,100.0,-19.55,169.27,77.58,8.97
447,monze,0.0,ZM,1549163179.0,88.0,-16.28,27.48,61.56,3.71
448,taicheng,80.0,CN,1549163179.0,72.0,22.25,112.8,76.46,4.05
449,canatlan,20.0,MX,1549158060.0,15.0,24.52,-104.78,60.8,4.7
450,buchanan,75.0,LR,1549161000.0,94.0,5.88,-10.05,75.2,3.6
451,jizan,20.0,SA,1549159200.0,83.0,16.89,42.56,75.2,4.61
452,maceio,75.0,BR,1549159200.0,88.0,-9.67,-35.74,77.0,10.29
453,homestead,40.0,US,1549162380.0,94.0,25.47,-80.48,71.96,3.04
454,lazarev,12.0,RU,1549163181.0,68.0,52.23,141.51,7.88,10.42
455,praia da vitoria,20.0,PT,1549159200.0,82.0,38.73,-27.07,60.8,17.47
456,mocuba,80.0,MZ,1549163182.0,97.0,-16.84,36.99,73.89,3.38
457,phu ly,0.0,VN,1549163182.0,85.0,20.54,105.91,77.09,6.73
458,formosa do rio preto,64.0,BR,1549163183.0,82.0,-11.04,-45.19,73.49,2.93
459,luang prabang,90.0,LA,1549159200.0,88.0,19.89,102.14,66.2,2.24
460,igrim,32.0,RU,1549163183.0,45.0,63.19,64.42,-27.77,4.38
461,lukovetskiy,20.0,RU,1549161000.0,76.0,64.29,41.92,-11.21,2.82
462,hobyo,88.0,SO,1549163184.0,82.0,5.35,48.53,75.6,18.03
463,henties bay,88.0,NA,1549163185.0,100.0,-22.12,14.28,62.28,6.29
464,lebu,0.0,ET,1549163185.0,63.0,8.96,38.73,33.53,2.48
465,wajir,0.0,KE,1549163185.0,64.0,1.75,40.07,66.69,4.16
466,puerto cabezas,44.0,NI,1549163187.0,93.0,14.04,-83.39,79.11,12.66
467,boyolangu,12.0,ID,1549163187.0,86.0,-8.09,111.9,82.94,3.71
468,sola,8.0,NO,1549162200.0,74.0,58.89,5.65,30.2,11.41
469,shingu,75.0,JP,1549159200.0,62.0,33.72,135.99,57.2,8.05
470,southbridge,90.0,US,1549162440.0,62.0,42.08,-72.03,32.0,10.29
471,tsurib,0.0,RU,1549163188.0,61.0,42.24,46.83,-1.89,1.25
472,estelle,90.0,US,1549162500.0,82.0,32.87,-97.01,62.24,9.17
473,kokstad,88.0,ZA,1549162949.0,96.0,-30.55,29.42,58.73,2.04
474,mincivan,92.0,AZ,1549163189.0,97.0,39.03,46.72,32.22,1.81
475,havre-saint-pierre,40.0,CA,1549159200.0,71.0,50.23,-63.6,3.2,13.87
476,coihaique,0.0,CL,1549159200.0,55.0,-45.58,-72.07,66.2,5.82
477,chicama,75.0,PE,1549159200.0,88.0,-7.84,-79.15,75.2,9.17
478,eureka,90.0,US,1549161300.0,100.0,40.8,-124.16,53.06,5.82
479,qixingtai,92.0,CN,1549163191.0,81.0,30.41,111.89,45.36,11.43
480,zavodouspenskoye,40.0,RU,1549161000.0,76.0,56.86,65.02,-11.21,6.71
481,kokopo,68.0,PG,1549163192.0,100.0,-4.34,152.27,82.44,10.65
482,price,90.0,US,1549158780.0,72.0,39.6,-110.81,33.98,2.26
483,gravdal,8.0,NO,1549162200.0,74.0,59.79,5.78,32.0,11.41
484,masallatah,44.0,LY,1549163193.0,53.0,32.62,14.0,52.29,9.98
485,mushie,36.0,CD,1549163193.0,99.0,-3.02,16.92,75.11,1.92
486,bajil,0.0,ES,1549163193.0,68.0,38.23,-2.07,36.86,18.03
487,narsaq,76.0,GL,1549158600.0,38.0,60.91,-46.05,24.8,18.34
488,ihtiman,32.0,BG,1549161000.0,93.0,42.44,23.81,35.6,2.24
489,maragogi,92.0,BR,1549163194.0,100.0,-9.01,-35.22,74.88,4.94
490,san vicente,0.0,SV,1549158600.0,78.0,13.64,-88.78,78.8,4.7
491,beihai,40.0,CN,1549161000.0,29.0,38.95,121.19,35.6,22.37
492,maxixe,80.0,MZ,1549163197.0,96.0,-23.86,35.35,76.73,8.86
493,kiunga,8.0,PG,1549163197.0,58.0,-6.12,141.3,92.16,2.93
494,sobolevo,92.0,RU,1549163197.0,98.0,54.43,31.9,33.03,14.0
495,khash,88.0,IR,1549163198.0,94.0,28.22,61.21,49.23,7.52
496,khor,56.0,RU,1549163198.0,69.0,47.88,134.96,13.86,4.16
497,bayan,0.0,MN,1549163198.0,48.0,47.25,107.54,-11.93,8.75
498,juchipila,0.0,MX,1549163199.0,56.0,21.41,-103.12,49.01,2.48
499,robertsport,24.0,LR,1549163199.0,100.0,6.75,-11.37,80.96,6.4
500,jacareacanga,12.0,BR,1549163199.0,95.0,-6.22,-57.76,76.32,2.04
501,mao,20.0,DO,1549162800.0,78.0,19.55,-71.08,73.4,6.93
502,virginia beach,1.0,US,1549162740.0,88.0,36.85,-75.98,38.12,3.71
503,matara,92.0,PE,1549163201.0,99.0,-13.74,-72.9,45.63,2.15
504,beyla,64.0,GN,1549163201.0,97.0,8.69,-8.65,67.73,3.94
505,durban,90.0,FR,1549161000.0,86.0,43.54,0.58,33.8,10.29
506,puerto penasco,68.0,MX,1549163202.0,90.0,31.32,-113.53,63.99,20.15
507,puerto del rosario,0.0,ES,1549161000.0,63.0,28.5,-13.86,62.6,26.4
508,ereymentau,80.0,KZ,1549163203.0,83.0,51.62,73.1,2.93,3.6
509,shimoda,20.0,JP,1549159200.0,50.0,34.7,138.93,57.2,11.41
510,sergeyevka,92.0,KZ,1549163203.0,78.0,53.88,67.42,2.34,9.86
511,sombrio,92.0,BR,1549163015.0,100.0,-29.11,-49.63,71.51,6.73
512,foumban,32.0,CM,1549163204.0,67.0,5.73,10.9,64.44,2.59
513,banjar,20.0,ID,1549163204.0,80.0,-7.37,108.54,82.49,3.71
514,manaure,0.0,CO,1549163205.0,95.0,11.78,-72.45,77.36,22.5
515,ulladulla,0.0,AU,1549159200.0,55.0,-35.36,150.48,87.8,12.75
516,salta,90.0,AR,1549159200.0,93.0,-24.79,-65.41,68.0,8.05
517,zhicheng,56.0,CN,1549163206.0,67.0,35.04,112.59,41.54,6.4
518,luanda,75.0,AO,1549159200.0,88.0,-8.83,13.24,80.6,3.36
519,komsomolskiy,0.0,RU,1549163207.0,41.0,67.55,63.78,-26.1,10.2
520,port keats,0.0,AU,1549163207.0,74.0,-14.25,129.55,90.72,22.06
521,sungaipenuh,44.0,ID,1549163207.0,87.0,-2.08,101.38,72.63,0.92
522,tocopilla,44.0,CL,1549163208.0,93.0,-22.09,-70.2,66.74,3.38
523,sechura,56.0,PE,1549163208.0,84.0,-5.56,-80.82,75.42,5.95
524,constitucion,20.0,MX,1549161840.0,18.0,23.99,-104.67,60.8,9.17
525,lagoa,0.0,PT,1549161000.0,75.0,37.14,-8.45,44.6,3.36
526,caravelas,80.0,BR,1549163209.0,100.0,-17.73,-39.27,81.45,13.22
527,emba,0.0,CY,1549161000.0,81.0,34.81,32.42,50.0,8.05
528,dakar,44.0,SN,1549161000.0,82.0,14.69,-17.45,64.4,18.34
529,baruun-urt,0.0,MN,1549163210.0,45.0,46.68,113.28,-9.0,8.63
530,suntar,64.0,RU,1549163211.0,56.0,62.16,117.65,-32.4,7.96
531,les cayes,92.0,HT,1549163211.0,100.0,18.19,-73.75,76.91,6.96
532,fortuna,0.0,ES,1549161000.0,39.0,38.18,-1.13,50.0,29.97
533,anchorage,90.0,US,1549160760.0,78.0,61.22,-149.89,17.96,4.7
534,luderitz,64.0,NA,1549163212.0,93.0,-26.65,15.16,58.68,9.08
535,bilibino,88.0,RU,1549163212.0,68.0,68.06,166.44,-10.85,4.27
536,bereda,90.0,ES,1549161000.0,100.0,43.27,-7.54,33.8,4.7
537,valdivia,0.0,CL,1549159200.0,44.0,-39.81,-73.25,75.2,4.7
538,anshun,0.0,CN,1549163213.0,62.0,26.25,105.93,46.89,15.46
539,ionia,90.0,US,1549162500.0,80.0,42.99,-85.07,41.0,8.05
540,kirakira,56.0,SB,1549163214.0,100.0,-10.46,161.92,83.21,14.56
541,port moresby,75.0,PG,1549159200.0,62.0,-9.47,147.16,89.6,23.04
542,jiangyou,32.0,CN,1549163215.0,53.0,31.78,104.73,46.17,6.85
543,nome,90.0,US,1549162500.0,93.0,30.04,-94.42,61.16,5.82
544,san andres,8.0,PH,1549163216.0,96.0,13.32,122.68,79.38,11.65
545,mehamn,0.0,NO,1549163216.0,87.0,71.03,27.85,12.11,9.53
546,ust-nera,8.0,RU,1549163216.0,45.0,64.57,143.24,-30.83,2.15
